Month	Max. temp	Min. temp	Days of air frost (days)	Sunshine (hours)	Rainfall (mm)	Days of rainfall >= 1 mm (days)	Monthly mean wind speed at 10m (knots)
1	6.5	0.6	11.4	58.3	67.6	12.3	10.2
2	6.8	0.8	10.5	81.3	55.1	10.5	10.0
3	8.8	1.9	7.4	121.8	59.8	11.6	10.1
4	10.9	3.4	3.5	149.4	58.8	10.8	8.9
5	13.6	5.7	0.8	199.4	56.9	10.6	8.3
6	16.1	8.6	0.1	166.4	61.2	10.4	8.0
7	18.5	10.8	0.0	165.3	61.6	11.4	7.4
8	18.3	10.5	0.0	157.8	60.5	10.7	7.5
9	15.8	8.6	0.2	123.7	67.9	10.5	8.3
10	12.4	5.9	1.6	99.8	96.2	13.6	9.2
11	8.9	2.9	6.0	66.2	93.3	13.8	9.3
12	6.6	0.7	11.4	46.1	76.1	12.3	9.0
